source,metric,optimal window,optimal lag,pearsons coeff,p-value,significant (p<0.05),linr_r2,linr_rmse,rf_r2,rf_rmse
PYPL Returns,Revenue (USD),2,80,-0.5546,0.0015,True,-9.263924673401824,475786434.7775178,-11.542022153620255,525943520.8521179
PYPL Returns,Revenue QoQ Growth Rate (%),2,45,0.5175,0.004,True,-4.268908280263654,4.884534650315042,-5.7190782656055115,5.515917036669001
PYPL Returns,Revenue YoY Growth Rate (%),2,19,-0.5316,0.0052,True,-34.622583540340116,20.86705822109527,-37.931400522072096,21.81466432512425
PYPL Returns,Remaining Performance Obligations (RPO) (USD),2,80,-0.5603,0.0019,True,-6.004618153594821,1714716716.3945072,-7.651432784398079,1905654514.3835316
PYPL Returns,Number of Large Customers (ARR >= $100k),2,80,-0.5596,0.002,True,-11.921621307257999,1595.6408998689387,-16.429117074278516,1853.1661073267135
PYPL Returns,Large Customer QoQ Growth Rate (%),1,64,-0.5095,0.0066,True,-6.210710820107942,4.067588928576414,-8.053677703077177,4.5578552884679695
Tech Headlines Score,Revenue QoQ Growth Rate (%),20,15,-0.4538,0.0199,True,-7.6334848425443464,4.486063639036887,-10.542798348708233,5.187139395328014
Tech Headlines Score,Remaining Performance Obligations (RPO) (USD),2,77,0.3375,0.0917,False,-8.279763476989986,1851536389.8050864,-6.230801533719625,1634394978.2484574
Tech Headlines Score,Billings YoY Growth Rate (%),45,63,0.6517,0.0007553,True,-16.647746580575802,24.282325322908513,-31.221112790231473,32.810731395190714
Tech Headlines Score,Large Customer YoY Growth Rate (%),45,63,0.6594,0.00045672,True,-30.6217639309196,21.825085925482657,-29.050840245357534,21.276060959730685
Tech Headlines Score,Net Revenue Retention (%),45,63,0.6795,0.00018693,True,-8.01915586604672,6.534528755259628,-7.069013861386139,6.180755414995808
Product Releases Frequency,Revenue (USD),15,20,0.5205,0.0038,True,-10.65134984804729,441254990.4789578,-12.110446697154165,468069403.5520774
Product Releases Frequency,Revenue QoQ Growth Rate (%),6,90,0.5335,0.0029,True,-2.355874905854068,3.8982147220854215,-2.29015116389604,3.859853322073565
Product Releases Frequency,Revenue YoY Growth Rate (%),6,63,0.473,0.0147,True,-35.754156058483,21.1958944642233,-34.818468483925734,20.92435247475568
Product Releases Frequency,Remaining Performance Obligations (RPO) (USD),15,20,0.5036,0.0074,True,-5.3548257715582785,1594654882.8911285,-5.6202034422496325,1627610754.6170647
Product Releases Frequency,RPO QoQ Growth Rate (%),3,51,0.6576,0.00019353,True,0.1684606555016046,8.719677332217262,0.16010059534799592,8.76340029089861
Product Releases Frequency,RPO YoY Growth Rate (%),2,90,0.6936,0.00017082,True,-2.3768322056518065,20.33903186154641,-2.396121454817574,20.3970397757139
Product Releases Frequency,Calculated Billings (USD),15,20,0.5176,0.0068,True,-5.820009308764691,445305725.1345498,-6.588004591273671,469709763.3791105
Product Releases Frequency,Number of Large Customers (ARR >= $100k),15,20,0.471,0.0131,True,-16.403017261152936,1646.6821098620067,-18.437883213178907,1740.2914076977847
Product Releases Frequency,Large Customer QoQ Growth Rate (%),1,19,0.4872,0.0116,True,-7.64688899422417,4.719727645893813,-8.059911087865407,4.831132671559839
Product Releases Frequency,Large Customer YoY Growth Rate (%),3,90,0.5013,0.0126,True,-25.892295908322783,20.12689851580768,-26.385577807048687,20.31065224772813
